Year,Current Scenario
40.57,
41.33,
42.1,
42.87,
43.76,
44.81,
45.89,
47.07,
48.24,
49.23,
50.04,
51.09,
52.15,
53.16,
54.13,
54.94,
55.73,
56.47,
57.22,
57.83,
58.09,
58.0,
58.28,
58.64,
58.96,
59.18,
59.37,
59.55,
59.71,
59.86,
60.0,
60.14,
60.28,
60.42,
60.56,
60.72,
60.87,
61.04,
61.23,
61.44,
61.65,
61.88,
62.11,
62.36,
62.62,
62.88,
63.16,
63.44,
63.73,
64.03,
64.33,
64.64,
64.95,
65.26,
65.57,
65.88,
66.19,
66.5,
66.8,
67.1,
67.39,
67.67,
67.95,
68.22,
68.48,
68.73,
68.97,
69.2,
69.41,
69.62,
69.81,
69.99,
70.16,
70.31,
70.45,
70.57,
70.67,
70.76,
70.83,
70.88,
70.91,
70.93,
70.94,
70.93,
70.91,
70.88,
70.83,
70.78,
70.72,
70.65,
70.57,
70.48,
70.39,
70.3,
70.2,
70.09,
69.98,
69.87,
69.76,
69.66,
69.56,
